id,nome,ano_registo,type,n_reg,lat,lon,score_global,score_location,score_price/quality,data_levan,nearest_metro,nearest_bus,nearest_tur_point,POI_closer_than_1000
387,ocean view oporto foz,2015.0,Apartamento,15618/AL,41.156912248484176,-8.681441829595261,9.9,9.7,9.7,1488758400000.0,3696.4700091114064,72.9299784480429,5881.320047030898,1
388,loulé estudios,2013.0,Estabelecimento de hospedagem,5061/AL,41.14485753267482,-8.60478266841029,8.9,9.1,9.0,1488758400000.0,503.01560250836303,30.522877285234504,479.05281474146085,6
389,"madureia e rocha, lda",2015.0,Estabelecimento de hospedagem,11559/AL,41.144341254840114,-8.604561986109251,6.7,8.1,6.8,1488758400000.0,521.9064772575797,62.32256464416108,529.0937626513709,6
393,flat porto center cedofeita,2016.0,Apartamento,32273/AL,41.15408745239328,-8.618518145466135,8.6,8.8,8.6,1488758400000.0,363.43632044615373,58.69882704670724,753.0429448108182,7
395,portopia place,2016.0,Apartamento,32312/AL,41.15086507825684,-8.627441869975243,8.4,8.6,8.6,1488758400000.0,963.04666983181,104.42581013113009,1367.3281819257738,2
396,uportohouse,2015.0,Moradia,20544/AL,41.181482314499725,-8.612461799070777,8.4,7.2,8.5,1488758400000.0,663.5670558075058,105.81742551022066,3475.384102026405,0
400,residencial vale formoso,2010.0,Estabelecimento de hospedagem,6230/AL,41.165895514718095,-8.61217329546726,7.9,7.6,7.9,1488758400000.0,836.6101130775137,61.925725952698876,1745.3658338526293,3
401,"live, love & feel porto",2014.0,Apartamento,5948/AL,41.16343264607464,-8.608534988468067,9.7,8.9,9.8,1488758400000.0,427.63916561036456,54.11798603299578,1486.4756318912894,1
406,"ribeiro, ribeiro & ferreira, l.da",2012.0,Estabelecimento de hospedagem,6261/AL,41.175772729929534,-8.607952566544274,7.1,8.0,7.2,1488758400000.0,381.3092209813085,81.81336442754196,2852.661029886707,2
409,casa lindo vale,2015.0,Moradia,15989/AL,41.164993233942155,-8.600602547761266,-1.0,8.2,9.1,1488758400000.0,167.50308825456617,43.84707247096444,1867.1695731812488,1
414,casa do mercado da foz,2016.0,Apartamento,35729/AL,41.15396040623179,-8.674485368492439,-1.0,9.2,9.1,1488758400000.0,3442.8448953525785,46.74342780782627,5227.7759997447665,2
417,quiet studio porto down town,2016.0,Apartamento,24338/AL,41.152778240183096,-8.603555529020843,,,,1488758400000.0,400.2516927167313,96.06128083075428,700.580087861887,7
419,home in porto,2016.0,Apartamento,35668/AL,41.1505528793204,-8.612243881908496,8.9,9.7,8.3,1488758400000.0,247.2129454422488,126.9190807640917,98.53158286335531,9
420,cozy loft in downtown,2016.0,Apartamento,32481/AL,41.15133771874228,-8.612201393446117,9.4,9.8,9.4,1488758400000.0,266.1300310867482,117.10465968192652,153.80822732689086,8
